prefcode,total_buildings,height_count,levels_count,min_height_count,underground_count,ele_count,height_coverage,levels_coverage
1,2688753,108,19932,4,49,23,0.0,0.74
23,1694860,425475,357019,2,20,425349,25.1,21.06
27,1651393,187254,170609,2,85,186224,11.34,10.33
22,1624320,105,32989,13,6,212,0.01,2.03
14,1592771,6088,32369,48,70,4648,0.38,2.03
13,1413365,47084,117613,244,36521,42575,3.33,8.32
4,984683,129,44683,4,14,1,0.01,4.54
11,963787,8408,30899,1,100,8171,0.87,3.21
28,924330,69161,54196,6,67,67385,7.48,5.86
7,844394,310,4666,35,1,2,0.04,0.55
26,825545,258,30291,88,27,15,0.03,3.67
12,641632,548,16864,8,11,22,0.09,2.63
5,569303,48,4840,0,13,21,0.01,0.85
34,535328,55736,28514,12,67,55553,10.41,5.33
20,511977,189929,46985,6,68098,189929,37.1,9.18
40,437230,25232,24121,44,24247,24249,5.77,5.52
43,420606,44412,2416,2,0,44377,10.56,0.57
29,365650,46,1646,0,1,4,0.01,0.45
2,363512,64,1399,0,1,1,0.02,0.38
41,361362,112,2536,14,12,0,0.03,0.7
15,316052,135,2582,0,1,1,0.04,0.82
33,311332,474,2921,0,4,158,0.15,0.94
17,302705,9,2569,0,4,2,0.0,0.85
31,273127,6,2946,0,0,1,0.0,1.08
38,261427,11,341,2,1,0,0.0,0.13
8,255773,62887,6883,0,2,62809,24.59,2.69
3,239712,43,2980,0,1,1,0.02,1.24
42,226443,62,712,1,0,1,0.03,0.31
47,218344,107,8190,8,11,13,0.05,3.75
6,200149,13,659,0,0,3,0.01,0.33
9,193031,22,545,0,1,3,0.01,0.28
18,191058,16,22045,2,18,0,0.01,11.54
19,182992,6,577,0,2,37,0.0,0.32
16,173536,406,4882,0,4,3,0.23,2.81
25,159530,90,1753,13,1,2,0.06,1.1
24,154984,13,1610,0,1,31,0.01,1.04
44,153003,138,795,0,3,1,0.09,0.52
35,147365,17,324,0,0,0,0.01,0.22
36,123327,2,1347,1,0,1,0.0,1.09
46,107881,7,914,1,0,1,0.01,0.85
32,107742,5,631,0,0,1,0.0,0.59
10,100932,365,4707,1,0,4,0.36,4.66
30,98787,16,2035,0,1,4,0.02,2.06
21,94118,18,2631,1,0,2,0.02,2.8
39,71228,8,302,0,0,7,0.01,0.42
37,64487,9,3800,0,0,3,0.01,5.89
45,39390,3,380,0,0,0,0.01,0.96
