prefcode,building_type,building_count,avg_area_sqm,min_area_sqm,max_area_sqm,small_buildings,medium_buildings,large_buildings,extra_large_buildings,small_percent,medium_percent,large_percent,extra_large_percent
1,yes,2606079,123.39,0.04,232189.49,1648398,893495,40808,23378,63.25,34.29,1.57,0.9
1,greenhouse,33730,281.56,5.12,70909.37,3502,28014,1970,244,10.38,83.05,5.84,0.72
1,house,16825,102.69,2.63,8838.58,10076,6711,30,8,59.89,39.89,0.18,0.05
1,apartments,11478,404.39,3.45,4443.49,402,7998,2505,573,3.5,69.68,21.82,4.99
1,residential,3359,114.97,2.42,2686.04,1884,1443,23,9,56.09,42.96,0.68,0.27
1,retail,2489,1290.77,6.68,69962.47,204,1309,285,691,8.2,52.59,11.45,27.76
1,school,1471,1918.54,7.84,10506.2,224,145,167,935,15.23,9.86,11.35,63.56
1,storage_tank,1405,565.71,2.09,5915.32,653,520,88,144,46.48,37.01,6.26,10.25
1,detached,1399,107.65,15.33,486.29,718,681,0,0,51.32,48.68,0.0,0.0
1,roof,1061,252.48,1.24,4519.32,570,374,57,60,53.72,35.25,5.37,5.66
1,industrial,942,2022.13,5.18,105879.0,177,345,127,293,18.79,36.62,13.48,31.1
1,garage,926,80.1,0.74,13877.18,816,85,16,9,88.12,9.18,1.73,0.97
1,commercial,765,1004.94,6.48,54601.97,62,404,113,186,8.1,52.81,14.77,24.31
1,shed,764,23.5,0.61,305.34,714,50,0,0,93.46,6.54,0.0,0.0
1,warehouse,602,987.15,3.2,33123.45,155,281,53,113,25.75,46.68,8.8,18.77
1,public,449,1092.86,11.47,13976.51,58,113,110,168,12.92,25.17,24.5,37.42
1,office,434,684.31,7.05,4969.33,23,228,95,88,5.3,52.53,21.89,20.28
1,hotel,429,1329.3,15.45,18932.8,8,157,106,158,1.86,36.6,24.71,36.83
1,university,421,916.01,3.77,6615.24,68,108,119,126,16.15,25.65,28.27,29.93
1,hospital,419,2026.68,17.44,14587.25,7,99,59,254,1.67,23.63,14.08,60.62
1,silo,376,27.34,1.65,326.39,367,9,0,0,97.61,2.39,0.0,0.0
1,train_station,341,544.48,7.07,19815.13,157,119,29,36,46.04,34.9,8.5,10.56
1,temple,249,656.16,19.7,3262.58,23,94,80,52,9.24,37.75,32.13,20.88
1,kindergarten,222,760.21,5.64,2381.04,5,49,114,54,2.25,22.07,51.35,24.32
1,stable,204,377.56,32.64,1287.4,4,156,37,7,1.96,76.47,18.14,3.43
1,barn,180,240.09,5.99,8075.5,45,127,7,1,25.0,70.56,3.89,0.56
1,hut,155,34.46,4.5,944.22,150,4,1,0,96.77,2.58,0.65,0.0
1,bungalow,113,46.77,13.92,237.71,94,19,0,0,83.19,16.81,0.0,0.0
1,terrace,91,206.02,56.55,483.9,6,85,0,0,6.59,93.41,0.0,0.0
1,construction,91,503.76,20.86,3907.71,22,44,13,12,24.18,48.35,14.29,13.19
1,garages,86,367.4,12.08,3184.84,22,45,13,6,25.58,52.33,15.12,6.98
1,farm_auxiliary,86,516.91,5.44,3359.66,19,34,24,9,22.09,39.53,27.91,10.47
1,farm,79,216.91,24.06,3502.64,23,55,0,1,29.11,69.62,0.0,1.27
1,parking,67,1552.95,55.89,6994.74,8,9,10,40,11.94,13.43,14.93,59.7
