prefcode,n03_007,cityname,building_count,building_types,avg_height,max_height,avg_levels,max_levels,total_building_area_ha,avg_building_area_ha,max_building_area_ha,height_count,levels_count,min_height_count,underground_count,ele_count,date_count,source_count,name_count,editor_count,prefecture_area_ha,building_coverage_percent
1,01700,旭川市,34337806,43,,,4.57,17.0,363806.5956,0.0106,3.065,0,57618,0,0,388,194,33899172,145112,91,147751.0,246.23
1,01700,函館市,23021204,36,48.87,72.3,3.02,19.0,273809.6565,0.0119,2.1571,582,68482,0,194,0,1164,22267126,117952,130,147751.0,185.32
1,01700,帯広市,19063022,24,59.62,59.62,5.81,19.0,212936.5226,0.0112,2.2207,194,6208,0,0,0,0,18909956,38606,46,147751.0,144.12
1,01700,札幌市北区,17698232,26,116.85,175.2,7.41,48.0,177949.1215,0.0101,1.9815,388,133860,0,388,0,1940,13579418,190896,89,147751.0,120.44
1,01700,釧路市,15290110,30,8.0,8.0,2.83,12.0,197601.5303,0.0129,3.3396,194,23086,0,0,0,194,15029374,66736,78,147751.0,133.74
1,01700,苫小牧市,14890470,47,114.8,200.0,2.12,12.0,221015.3043,0.0148,10.5879,388,50052,0,194,0,2910,8945728,144918,100,147751.0,149.59
1,01700,札幌市東区,13850436,27,26.87,128.1,5.06,38.0,172912.3965,0.0125,3.6468,4074,49082,776,0,0,2328,10932288,64796,73,147751.0,117.03
1,01700,北見市,13344484,46,,,2.39,12.0,173560.5606,0.013,1.5825,0,227950,0,388,0,2522,13079868,295462,41,147751.0,117.47
23,23801,春日井市,12894840,21,73.0,73.0,2.75,23.0,105093.2133,0.0082,2.4526,70,7490,0,70,0,0,12849130,35210,68,91832.0,114.44
27,27383,東大阪市,12195360,38,7.21,14.6,3.67,30.0,121255.0042,0.0099,2.2063,7416,29736,0,0,7128,0,130392,97560,178,10963.0,1106.04
1,01700,江別市,11070610,35,2.0,3.0,2.36,10.0,112824.7955,0.0102,2.4545,388,69258,0,0,776,776,7097296,83420,172,147751.0,76.36
1,01700,岩見沢市,10871760,27,,,2.48,10.0,109184.6057,0.01,2.3795,0,65184,0,0,0,0,6047368,50828,52,147751.0,73.9
11,11465,川口市,10567440,30,57.06,99.85,3.45,28.0,107347.8596,0.0102,2.8667,360,56232,0,72,0,0,9717624,39600,80,57789.0,185.76
11,11465,川越市,10408248,37,12.0,16.0,4.33,25.0,105618.6039,0.0101,2.3516,216,9864,0,72,0,360,7893288,49320,122,57789.0,182.77
1,01700,室蘭市,10382880,29,,,3.14,22.0,110945.7635,0.0107,23.2189,0,71586,0,0,582,0,10306444,140844,82,147751.0,75.09
13,13808,大田区,9595761,44,30.04,140.0,4.12,28.0,104959.9397,0.0109,9.9452,2070,80385,69,621,0,1380,2200548,104397,245,22553.0,465.39
20,20602,長野市,9585730,46,64.75,75.0,2.85,20.0,131734.5784,0.0137,2.9223,308,49665,0,77,77,231,248325,110341,887,97847.0,134.63
1,01700,小樽市,9435190,34,8.47,49.0,2.54,15.0,117450.8877,0.0124,5.4602,5820,23668,0,0,0,776,2724924,98552,125,147751.0,79.49
7,07564,郡山市,9062164,24,59.8,133.0,1.98,25.0,125998.7849,0.0139,3.5967,295,17346,0,59,0,0,1056100,24485,96,123184.0,102.29
7,07564,福島市,9006704,34,11.96,60.0,1.72,19.0,105126.2906,0.0117,4.1821,3127,37996,649,0,0,0,6678387,33689,85,123184.0,85.34
1,01700,札幌市西区,8815360,26,,,4.74,40.0,122383.1833,0.0139,2.8536,0,170332,0,2716,0,776,8238792,206610,62,147751.0,82.83
