building_type,count,avg_height,max_height,avg_levels,max_levels,avg_area_sqm,min_area_sqm,max_area_sqm,height_count,levels_count,min_height_count,underground_count,ele_count,date_count,source_count,name_count,prefecture_count
yes,21019547,6.2,658.5,7.28,1234567.0,132.63,0.0,310598.88,388685,254883,442,56518,382107,2859,6205598,238458,47
house,1704721,7.08,78.0,1.93,47.0,88.81,0.01,25566.9,529163,487023,1,53975,527392,42152,808513,2133,47
detached,349641,7.45,14.0,2.07,23.0,87.92,1.48,2617.18,264,57466,0,8,118,601,21497,212,45
apartments,277299,12.13,237.2,4.09,59.0,302.8,1.03,36156.96,57692,126101,5,2420,56399,4574,111056,86480,47
residential,183740,8.12,190.0,2.39,58.0,122.4,0.02,29280.26,31137,30226,1,2089,30827,1205,87118,1934,47
greenhouse,126243,1.91,19.8,1.0,5.0,392.86,2.7,70909.37,546,9868,0,0,67,0,38393,135,47
roof,85623,8.27,130.0,1.07,10.0,103.92,0.04,30262.87,748,4890,65,22,465,28,17866,1666,47
industrial,68468,7.27,200.0,1.56,15.0,1320.7,0.84,207014.8,27063,22986,0,2821,26959,1672,29144,4528,47
retail,68067,8.07,300.0,2.05,60.0,836.75,1.05,73323.08,16629,22946,5,1708,16179,1585,27552,24640,47
school,39365,13.17,82.9,2.82,36.0,991.39,0.01,81192.33,1872,4210,1,50,1725,107,9665,3350,47
farm_auxiliary,36934,6.86,28.0,1.46,4.0,140.74,0.96,78486.34,21,123,0,0,22,2,166,133,41
commercial,36058,10.68,325.2,3.34,64.0,411.57,0.06,66866.48,17577,21028,5,1057,17079,1368,21644,9853,47
warehouse,27504,5.56,50.0,1.23,12.0,661.29,0.59,106033.77,14988,14918,0,689,14753,508,15652,2099,47
public,26431,7.54,147.2,1.71,48.0,344.66,0.65,57946.03,22012,16536,0,2217,21982,1071,19783,3270,47
garage,20831,4.34,30.0,1.06,12.0,74.01,0.74,33133.81,65,6805,0,7,20,3,2489,382,47
agricultural,11049,4.6,33.4,1.1,3.0,72.82,1.41,12509.83,11048,2291,0,4474,11048,847,6099,20,8
carport,9418,3.11,8.2,1.01,10.0,26.87,1.87,2475.73,209,1411,0,0,134,0,871,6,45
office,8658,49.32,253.0,4.77,54.0,479.62,1.17,16523.9,266,3560,3,91,31,138,3337,5407,47
shed,7485,2.19,6.0,1.03,2.0,43.95,0.46,12509.95,149,2535,3,0,5,16,1645,94,47
university,6425,21.12,99.9,3.89,27.0,1035.92,3.77,20077.75,495,1637,1,33,347,81,2376,3710,47
hotel,6284,14.25,188.65,5.69,53.0,762.07,1.06,18932.8,1534,1995,0,1052,1448,109,2477,2780,47
temple,6139,9.79,38.0,1.41,6.0,341.28,0.34,11372.23,170,322,3,3,141,15,1458,2631,47
hospital,5959,24.42,99.72,4.15,21.0,1587.13,1.48,97548.62,166,1147,0,14,128,26,1280,2282,47
kindergarten,4782,9.25,20.4,2.03,5.0,620.77,2.36,7527.32,79,742,0,7,73,20,875,1097,47
