month,total_edits,unique_editors,active_prefectures,height_edits,levels_edits,building_types,prev_month_edits,growth_rate_percent,height_coverage_percent
2008-08-01,6,3,3,0,0,1,,,0.0
2008-09-01,2,2,2,0,0,1,6.0,-66.67,0.0
2008-10-01,2,1,1,0,0,1,2.0,0.0,0.0
2008-11-01,6,3,3,0,0,1,2.0,200.0,0.0
2008-12-01,5,2,2,0,0,1,6.0,-16.67,0.0
2009-01-01,7,3,3,0,0,1,5.0,40.0,0.0
2009-03-01,5,1,2,0,0,1,7.0,-28.57,0.0
2009-04-01,3,2,3,0,0,1,5.0,-40.0,0.0
2009-05-01,9,2,5,0,0,1,3.0,200.0,0.0
2009-06-01,5,2,2,0,0,1,9.0,-44.44,0.0
2009-08-01,1,1,1,0,0,1,5.0,-80.0,0.0
2009-09-01,10,3,3,0,0,1,1.0,900.0,0.0
2009-10-01,4,2,2,0,0,1,10.0,-60.0,0.0
2009-11-01,27,6,5,0,0,1,4.0,575.0,0.0
2009-12-01,4,4,4,0,0,1,27.0,-85.19,0.0
2010-01-01,5,2,2,0,0,1,4.0,25.0,0.0
2010-03-01,120,9,9,0,0,1,5.0,2300.0,0.0
2010-04-01,26,4,5,0,0,1,120.0,-78.33,0.0
2010-05-01,54,9,7,0,0,1,26.0,107.69,0.0
2010-06-01,11,4,4,0,0,1,54.0,-79.63,0.0
2010-07-01,18,6,7,0,0,1,11.0,63.64,0.0
2010-08-01,81,11,9,0,0,1,18.0,350.0,0.0
2010-09-01,43,8,9,0,0,1,81.0,-46.91,0.0
2010-10-01,68,10,9,0,0,1,43.0,58.14,0.0
2010-11-01,41,5,5,0,0,1,68.0,-39.71,0.0
2010-12-01,2312,20,12,0,0,3,41.0,5539.02,0.0
2011-01-01,4216,21,16,0,0,2,2312.0,82.35,0.0
2011-02-01,3261,26,15,0,0,5,4216.0,-22.65,0.0
2011-03-01,23334,176,21,0,0,8,3261.0,615.55,0.0
2011-04-01,5066,64,17,0,0,4,23334.0,-78.29,0.0
2011-05-01,2026,30,18,0,0,3,5066.0,-60.01,0.0
2011-06-01,2563,28,15,0,0,3,2026.0,26.51,0.0
2011-07-01,4494,33,15,1,0,8,2563.0,75.34,0.02
2011-08-01,2303,23,19,0,0,4,4494.0,-48.75,0.0
2011-09-01,3629,29,18,0,0,5,2303.0,57.58,0.0
2011-10-01,10059,32,18,0,0,5,3629.0,177.18,0.0
2011-11-01,8032,29,18,0,0,5,10059.0,-20.15,0.0
2011-12-01,13388,36,16,0,0,6,8032.0,66.68,0.0
2012-01-01,9430,42,21,0,0,9,13388.0,-29.56,0.0
2012-02-01,12106,46,23,0,0,14,9430.0,28.38,0.0
2012-03-01,34068,84,21,21,3,17,12106.0,181.41,0.06
2012-04-01,31587,80,29,57,52,28,34068.0,-7.28,0.18
2012-05-01,10202,78,33,0,0,19,31587.0,-67.7,0.0
2012-06-01,13078,77,27,1,12,16,10202.0,28.19,0.01
2012-07-01,31478,69,36,0,38,19,13078.0,140.69,0.0
2012-08-01,21098,75,32,0,32,23,31478.0,-32.98,0.0
2012-09-01,22405,97,36,1,9,19,21098.0,6.19,0.0
2012-10-01,21814,118,37,0,52,24,22405.0,-2.64,0.0
2012-11-01,49279,90,34,3,186,26,21814.0,125.91,0.01
2012-12-01,47331,83,35,0,88,21,49279.0,-3.95,0.0
2013-01-01,45549,93,36,0,265,25,47331.0,-3.76,0.0
2013-02-01,38134,95,35,0,87,24,45549.0,-16.28,0.0
2013-03-01,40695,112,36,5,95,25,38134.0,6.72,0.01
2013-04-01,34208,104,35,1,26,33,40695.0,-15.94,0.0
2013-05-01,50005,115,37,2,63,24,34208.0,46.18,0.0
2013-06-01,32528,125,34,2,21,24,50005.0,-34.95,0.01
2013-07-01,56280,131,40,5,252,24,32528.0,73.02,0.01
2013-08-01,31738,88,37,2,657,22,56280.0,-43.61,0.01
2013-09-01,31920,86,35,0,297,23,31738.0,0.57,0.0
2013-10-01,36298,147,43,1,715,28,31920.0,13.72,0.0
2013-11-01,49262,128,43,39,434,28,36298.0,35.72,0.08
2013-12-01,79990,132,42,67,658,32,49262.0,62.38,0.08
2014-01-01,58389,130,39,23,8292,27,79990.0,-27.0,0.04
2014-02-01,54579,147,32,8,8809,35,58389.0,-6.53,0.01
2014-03-01,79897,157,42,20,683,33,54579.0,46.39,0.03
2014-04-01,80975,155,42,14,1256,31,79897.0,1.35,0.02
2014-05-01,57150,145,35,3,1369,31,80975.0,-29.42,0.01
2014-06-01,52569,163,41,8,1659,31,57150.0,-8.02,0.02
2014-07-01,62099,144,44,497,2297,36,52569.0,18.13,0.8
2014-08-01,66010,170,43,5,1162,33,62099.0,6.3,0.01
2014-09-01,45120,133,38,1,1436,33,66010.0,-31.65,0.0
2014-10-01,47465,175,38,9,1134,36,45120.0,5.2,0.02
2014-11-01,37276,192,38,11,825,36,47465.0,-21.47,0.03
2014-12-01,80279,177,43,60,638,33,37276.0,115.36,0.07
2015-01-01,76006,161,42,0,628,32,80279.0,-5.32,0.0
2015-02-01,59802,170,40,3,953,37,76006.0,-21.32,0.01
2015-03-01,45618,176,45,6,549,33,59802.0,-23.72,0.01
2015-04-01,68672,173,43,2,253,31,45618.0,50.54,0.0
2015-05-01,50525,232,45,9,276,41,68672.0,-26.43,0.02
2015-06-01,53335,267,43,2,1608,31,50525.0,5.56,0.0
2015-07-01,53549,192,43,14,1774,40,53335.0,0.4,0.03
2015-08-01,47462,213,44,9,1209,33,53549.0,-11.37,0.02
2015-09-01,79036,243,44,3,1613,41,47462.0,66.52,0.0
2015-10-01,55117,214,43,35,1518,32,79036.0,-30.26,0.06
2015-11-01,69229,227,43,33,529,35,55117.0,25.6,0.05
2015-12-01,376050,201,45,10,352,40,69229.0,443.2,0.0
2016-01-01,212401,197,45,14,1262,40,376050.0,-43.52,0.01
2016-02-01,91662,194,43,1,1217,37,212401.0,-56.84,0.0
2016-03-01,87639,202,46,79,1118,43,91662.0,-4.39,0.09
2016-04-01,264133,878,47,65,1467,44,87639.0,201.39,0.02
2016-05-01,124912,518,45,11,917,39,264133.0,-52.71,0.01
2016-06-01,175227,615,45,15,1182,39,124912.0,40.28,0.01
2016-07-01,146420,413,44,10,1513,39,175227.0,-16.44,0.01
2016-08-01,111972,266,46,14,3382,40,146420.0,-23.53,0.01
2016-09-01,118136,289,47,6,1834,37,111972.0,5.5,0.01
2016-10-01,124444,573,45,66,2325,36,118136.0,5.34,0.05
2016-11-01,136280,276,45,25,1695,36,124444.0,9.51,0.02
2016-12-01,157485,315,46,18,828,36,136280.0,15.56,0.01
