都道府県コード,建物数,編集者数,ジニ係数,トップ編集者占有率,上位5人占有率,上位10%占有率,HHI,height記述数,height記述率,levels記述数,levels記述率,min_height記述数,underground記述数,ele記述数,start_date記述数,source記述数,name記述数,編集開始日,最終編集日,集中度評価
1,2688753,1232,0.987,0.566,0.851,0.987,0.352,108,0,19932,0.74,4,49,23,272,1817301,22388,2010/5/14,2025/2/1,非常に高い集中
23,1694860,969,0.986,0.361,0.819,0.989,0.221,425475,25.1,357019,21.06,2,20,425349,5191,866137,19372,2009/12/1,2025/2/1,非常に高い集中
27,1651393,2277,0.97,0.13,0.518,0.962,0.062,187254,11.34,170609,10.33,2,85,186224,19659,438278,31506,2009/11/13,2025/2/1,非常に高い集中
22,1624320,715,0.991,0.525,0.886,0.994,0.328,105,0.01,32989,2.03,13,6,212,24,124006,12124,2010/10/8,2025/2/1,非常に高い集中
14,1592771,2403,0.964,0.157,0.573,0.954,0.077,6088,0.38,32369,2.03,48,70,4648,215,662344,23003,2008/8/19,2025/2/1,非常に高い集中
13,1413365,3276,0.966,0.117,0.336,0.956,0.037,47084,3.33,117613,8.32,244,36521,42575,1706,445403,40751,2008/9/30,2025/2/1,非常に高い集中
4,984683,1865,0.965,0.537,0.7,0.951,0.298,129,0.01,44683,4.54,4,14,1,97,54443,32526,2009/3/27,2025/2/1,非常に高い集中
11,963787,1251,0.967,0.43,0.602,0.96,0.198,8408,0.87,30899,3.21,1,100,8171,30,478483,17971,2008/9/24,2025/2/1,非常に高い集中
28,924330,989,0.976,0.192,0.63,0.981,0.104,69161,7.48,54196,5.86,6,67,67385,7694,204626,16243,2009/12/17,2025/2/1,非常に高い集中
7,844394,1135,0.978,0.426,0.841,0.971,0.296,310,0.04,4666,0.55,35,1,2,22,363721,5592,2008/8/12,2025/2/1,非常に高い集中
26,825545,992,0.984,0.519,0.758,0.986,0.297,258,0.03,30291,3.67,88,27,15,186,102031,13953,2009/11/13,2025/2/1,非常に高い集中
12,641632,1958,0.922,0.109,0.308,0.892,0.03,548,0.09,16864,2.63,8,11,22,36,79132,10880,2008/8/11,2025/2/1,非常に高い集中
5,569303,208,0.991,0.842,0.982,0.997,0.726,48,0.01,4840,0.85,0,13,21,101,2865,14930,2009/11/6,2025/2/1,非常に高い集中
34,535328,1127,0.931,0.271,0.533,0.9,0.097,55736,10.41,28514,5.33,12,67,55553,10004,229061,5529,2010/6/3,2025/1/31,非常に高い集中
20,511977,1402,0.927,0.2,0.577,0.897,0.085,189929,37.1,46985,9.18,6,68098,189929,10618,91797,8386,2010/5/16,2025/2/1,非常に高い集中
40,437230,1665,0.882,0.102,0.3,0.823,0.025,25232,5.77,24121,5.52,44,24247,24249,1653,53603,9675,2009/4/2,2025/2/1,非常に高い集中
43,420606,1856,0.858,0.105,0.217,0.788,0.018,44412,10.56,2416,0.57,2,0,44377,1267,97744,3014,2012/2/11,2025/1/27,非常に高い集中
29,365650,519,0.981,0.662,0.862,0.981,0.455,46,0.01,1646,0.45,0,1,4,28,75558,5347,2009/11/1,2025/2/1,非常に高い集中
2,363512,266,0.979,0.412,0.923,0.983,0.33,64,0.02,1399,0.38,0,1,1,11,154608,4510,2011/3/11,2025/1/29,非常に高い集中
41,361362,454,0.978,0.729,0.916,0.971,0.544,112,0.03,2536,0.7,14,12,0,38,52577,1842,2012/5/9,2025/1/31,非常に高い集中
15,316052,398,0.974,0.389,0.838,0.974,0.237,135,0.04,2582,0.82,0,1,1,25,79824,8432,2009/9/29,2025/2/1,非常に高い集中
33,311332,814,0.885,0.114,0.314,0.839,0.03,474,0.15,2921,0.94,0,4,158,15,47150,6585,2011/7/10,2025/2/1,非常に高い集中
17,302705,1161,0.892,0.136,0.308,0.851,0.035,9,0,2569,0.85,0,4,2,28,45925,3352,2010/3/10,2025/2/1,非常に高い集中
31,273127,454,0.979,0.459,0.928,0.974,0.41,6,0,2946,1.08,0,0,1,4,124463,1097,2013/4/11,2025/1/30,非常に高い集中
38,261427,674,0.926,0.252,0.578,0.897,0.096,11,0,341,0.13,2,1,0,6,10539,3449,2011/4/10,2025/1/26,非常に高い集中
8,255773,599,0.959,0.245,0.654,0.957,0.113,62887,24.59,6883,2.69,0,2,62809,279,87097,7216,2010/12/22,2025/2/1,非常に高い集中
3,239712,1207,0.914,0.343,0.539,0.87,0.133,43,0.02,2980,1.24,0,1,1,5,84374,4666,2010/10/23,2025/2/1,非常に高い集中
42,226443,274,0.969,0.391,0.849,0.969,0.267,62,0.03,712,0.31,1,0,1,11,131030,2923,2010/9/28,2025/2/1,非常に高い集中
47,218344,675,0.927,0.39,0.599,0.897,0.168,107,0.05,8190,3.75,8,11,13,34,10790,3859,2011/5/21,2025/2/1,非常に高い集中
6,200149,516,0.961,0.556,0.84,0.945,0.352,13,0.01,659,0.33,0,0,3,7,13556,4374,2009/5/29,2025/1/30,非常に高い集中
9,193031,729,0.937,0.32,0.587,0.911,0.127,22,0.01,545,0.28,0,1,3,11,9430,6538,2010/11/24,2025/1/30,非常に高い集中
18,191058,226,0.972,0.434,0.867,0.979,0.267,16,0.01,22045,11.54,2,18,0,5,31004,3396,2012/7/28,2025/2/1,非常に高い集中
19,182992,361,0.974,0.618,0.889,0.968,0.436,6,0,577,0.32,0,2,37,8,122461,1668,2010/12/30,2025/1/26,非常に高い集中
16,173536,598,0.954,0.518,0.772,0.936,0.289,406,0.23,4882,2.81,0,4,3,12,25522,2688,2012/10/14,2025/2/1,非常に高い集中
25,159530,436,0.963,0.281,0.716,0.964,0.162,90,0.06,1753,1.1,13,1,2,14,62110,4130,2012/4/27,2025/2/1,非常に高い集中
24,154984,457,0.942,0.135,0.515,0.935,0.067,13,0.01,1610,1.04,0,1,31,16,18172,5216,2009/10/14,2025/2/1,非常に高い集中
44,153003,809,0.822,0.055,0.219,0.724,0.016,138,0.09,795,0.52,0,3,1,16,10950,2973,2010/1/23,2025/1/29,非常に高い集中
35,147365,257,0.965,0.678,0.803,0.96,0.466,17,0.01,324,0.22,0,0,0,5,57419,3509,2011/1/2,2025/1/23,非常に高い集中
36,123327,227,0.966,0.56,0.834,0.969,0.338,2,0,1347,1.09,1,0,1,2,2789,2822,2012/8/14,2025/1/31,非常に高い集中
46,107881,396,0.923,0.228,0.609,0.894,0.104,7,0.01,914,0.85,1,0,1,9,13819,4316,2010/9/28,2025/2/1,非常に高い集中
32,107742,255,0.969,0.452,0.856,0.974,0.285,5,0,631,0.59,0,0,1,9,5084,5586,2011/3/22,2025/2/1,非常に高い集中
10,100932,407,0.932,0.226,0.496,0.921,0.082,365,0.36,4707,4.66,1,0,4,3,18585,5389,2011/8/18,2025/2/1,非常に高い集中
30,98787,637,0.962,0.363,0.688,0.963,0.173,16,0.02,2035,2.06,0,1,4,7,6340,3253,2010/3/21,2025/2/1,非常に高い集中
21,94118,431,0.933,0.165,0.478,0.924,0.067,18,0.02,2631,2.8,1,0,2,13,9809,4844,2012/1/29,2025/1/29,非常に高い集中
39,71228,197,0.95,0.405,0.802,0.941,0.217,8,0.01,302,0.42,0,0,7,4,5287,1715,2011/7/2,2025/1/28,非常に高い集中
37,64487,211,0.923,0.299,0.604,0.895,0.124,9,0.01,3800,5.89,0,0,3,19,16162,3306,2010/4/24,2025/1/26,非常に高い集中
45,39390,195,0.926,0.205,0.673,0.912,0.113,3,0.01,380,0.96,0,0,0,2,6248,2452,2010/10/16,2025/1/31,非常に高い集中
